attribute,value
Directed by,Barry Jenkins
Screenplay by,Barry Jenkins
Story by,Tarell Alvin McCraney
Produced by,"Adele Romanski
Dede Gardner
Jeremy Kleiner"
Starring,"Trevante Rhodes
André Holland
Janelle Monáe
Ashton Sanders
Jharrel Jerome
Naomie Harris
Mahershala Ali"
Cinematography,James Laxton
Edited by,"Nat Sanders
Joi McMillon"
Music by,Nicholas Britell
Productioncompanies,"A24
Plan B Entertainment
Pastel Productions"
Distributed by,A24
Release dates,"September 2, 2016 (2016-09-02) (Telluride)
October 21, 2016 (2016-10-21) (United States)"
Running time,111
Country,United States
Language,English
Budget,$1.5 million
Box office,65200000.0
