attribute,value
Hangul,기생충
Revised Romanization,Gisaengchung
McCune–Reischauer,Kisaengch'ung
Directed by,Bong Joon-ho
Screenplay by,"Bong Joon-ho
Han Jin-won"
Story by,Bong Joon-ho
Produced by,"Kwak Sin-ae
Moon Yang-kwon
Bong Joon-ho
Jang Young-hwan"
Starring,"Song Kang-ho
Lee Sun-kyun
Cho Yeo-jeong
Choi Woo-shik
Park So-dam
Jang Hye-jin"
Cinematography,Hong Kyung-pyo
Edited by,Yang Jin-mo
Music by,Jung Jae-il
Productioncompany,Barunson E&A
Distributed by,CJ Entertainment
Release dates,"21 May 2019 (2019-05-21) (Cannes)
30 May 2019 (2019-05-30) (South Korea)"
Running time,132
Country,South Korea
Language,Korean
Budget,₩17.0 billion(~$15.5 million)
Box office,262700000.0
